"Environment and Climate Change Canada"
"Monthly Values for December - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"PUKASKWA (AUT)","48.608","-86.287","ON","-13.7","0",NA,"10.4","0","-37.0","0","",,NA,"65.0","0",NA,"23.0","11","",,NA,"981.9","0.0","6046768"
"THUNDER BAY","48.372","-89.322","ON","-13.6","2",NA,"5.8","2","-31.2","2","",,NA,"24.0","2",NA,"","3","",,NA,"916.7","0.0","6048260"
"THUNDER BAY BURWOOD","48.414","-89.278","ON","-13.2","18",NA,"1.0","18","-32.0","18","12.4","18",NA,"5.4","18",NA,"8.0","5","","",NA,"406.0","0.0","6048266"
"THUNDER BAY CS","48.369","-89.327","ON","-12.9","0",NA,"6.2","0","-30.9","0","",,NA,"35.5","0",NA,"5.0","7","",,NA,"957.2","0.0","6048268"
"UPSALA (AUT)","49.033","-90.467","ON","-16.1","1",NA,"4.9","1","-38.2","0","",,NA,"28.0","1",NA,"21.0","7","",,NA,"1023.9","0.0","6049095"
"WELCOME ISLAND (AUT)","48.369","-89.119","ON","-10.8","0",NA,"5.1","0","-28.7","0","",,NA,"",,NA,"","","",,NA,"893.3","0.0","6049443"
"LITTLE FLATLAND ISLAND (AUT)","49.690","-88.306","ON","-12.5","12",NA,"4.5","12","-29.9","11","",,NA,"45.3","19",NA,"26.0","6","",,NA,"578.7","0.0","6049470"
"LAKE SUPERIOR PROVINCIAL PARK","47.723","-84.814","ON","-14.5","0",NA,"9.7","0","-38.3","0","",,NA,"191.4","0",NA,"56.0","16","",,NA,"1008.8","0.0","6054425"
"SAULT STE MARIE A","46.485","-84.510","ON","-9.4","0",NA,"11.7","0","-32.8","0","122.0","0",NA,"112.5","0",NA,"45.0","20","",,NA,"849.9","0.0","6057591"
"WAWA A","47.967","-84.786","ON","",,NA,"16.4","7","",,"",,NA,"",,NA,"28.0","","",,NA,"","","6059407"
"KILLARNEY (AUT)","45.967","-81.483","ON","-9.0","0",NA,"9.7","0","-26.9","0","",,NA,"",,NA,"","","",,NA,"837.8","0.0","605DJ25"
"CHAPLEAU A","47.820","-83.347","ON","",,NA,"7.6","4","",,"",,NA,"",,NA,"30.0","","",,NA,"","","6061362"
"MASSEY","46.193","-82.025","ON","-12.0","1","-5.3","11.5","1","-35.5","1","44.4","1",NA,"83.8","1",NA,"22.0","10","","",NA,"900.4","0.0","6065006"
"MONETVILLE 2","46.215","-80.303","ON","-11.6","4",NA,"10.5","4","-34.0","4","65.0","4",NA,"85.5","4",NA,"26.0","6","","",NA,"799.1","0.0","6065252"
"SUDBURY CLIMATE","46.632","-80.796","ON","-13.8","1",NA,"9.3","1","-32.1","0","",,NA,"43.8","1",NA,"13.0","9","",,NA,"954.9","0.0","6068145"
"SUDBURY A","46.626","-80.798","ON","-13.4","0",NA,"9.2","0","-32.7","0","74.6","0",NA,"80.4","0",NA,"18.0","15","",,NA,"973.1","0.0","6068153"
