"Environment and Climate Change Canada"
"Monthly Values for May - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"THUNDER BAY","48.372","-89.322","ON","7.8","5",NA,"23.9","5","-5.5","5","",,NA,"70.8","5",NA,"","9","",,NA,"264.4","0.0","6048260"
"THUNDER BAY BURWOOD","48.414","-89.278","ON","7.1","18",NA,"19.5","18","-6.0","18","0.0","18",NA,"35.6","18",NA,"","6","","",NA,"141.9","0.0","6048266"
"THUNDER BAY CS","48.369","-89.327","ON","7.7","5",NA,"23.6","4","-6.0","2","",,NA,"69.5","5",NA,"","16","",,NA,"267.2","0.0","6048268"
"UPSALA (AUT)","49.033","-90.467","ON","7.9","0",NA,"22.1","0","-6.0","0","",,NA,"68.0","1",NA,"","10","",,NA,"313.7","0.0","6049095"
"WELCOME ISLAND (AUT)","48.369","-89.119","ON","7.4","1",NA,"15.7","1","-0.1","0","",,NA,"",,NA,"","","",,NA,"318.8","0.0","6049443"
"LITTLE FLATLAND ISLAND (AUT)","49.690","-88.306","ON","5.6","6",NA,"19.2","5","-3.1","2","",,NA,"48.7","8",NA,"","10","",,NA,"308.8","0.0","6049470"
"LAKE SUPERIOR PROVINCIAL PARK","47.723","-84.814","ON","8.1","0",NA,"22.6","0","-5.9","0","",,NA,"126.3","0",NA,"","11","",,NA,"306.4","0.0","6054425"
"SAULT STE MARIE A","46.485","-84.510","ON","9.2","0",NA,"24.8","0","-5.4","0","0.0","0",NA,"75.8","1",NA,"","12","",,NA,"273.8","0.0","6057591"
"WAWA A","47.967","-84.786","ON","",,NA,"22.1","0","",,"",,NA,"",,NA,"","","",,NA,"","","6059407"
"KILLARNEY (AUT)","45.967","-81.483","ON","9.6","4",NA,"23.4","3","1.3","2","",,NA,"",,NA,"","","",,NA,"227.0","0.0","605DJ25"
"CHAPLEAU A","47.820","-83.347","ON","",,NA,"23.9","0","",,"",,NA,"",,NA,"","","",,NA,"","","6061362"
"MASSEY","46.193","-82.025","ON","10.7","0","-0.2","26.0","0","-2.5","0","0.0","0","0.0","79.4","0","104.0","0.0","10","","",NA,"226.5","0.0","6065006"
"MONETVILLE 2","46.215","-80.303","ON","11.0","0",NA,"26.0","0","-2.5","0","0.0","0",NA,"89.8","0",NA,"0.0","12","","",NA,"221.5","3.6","6065252"
"SUDBURY CLIMATE","46.632","-80.796","ON","10.2","0",NA,"27.1","0","-2.5","0","",,NA,"73.4","0",NA,"","9","",,NA,"243.2","1.1","6068145"
"SUDBURY A","46.626","-80.798","ON","10.2","0",NA,"27.4","0","-1.9","0","0.0","0",NA,"99.0","0",NA,"","12","",,NA,"242.1","1.3","6068153"
"BONNER LAKE","49.383","-82.124","ON","8.3","0",NA,"25.0","0","-7.0","0","27.4","0",NA,"145.2","0",NA,"0.0","15","","",NA,"302.4","0.8","6070QK6"
"EARLTON A","47.695","-79.849","ON","10.3","12",NA,"26.9","11","-2.9","12","",,NA,"65.3","12",NA,"","9","",,NA,"147.0","1.3","6072223"
"EARLTON CLIMATE","47.695","-79.849","ON","9.9","1",NA,"27.0","1","-3.3","0","",,NA,"85.3","1",NA,"","11","",,NA,"246.0","1.7","6072230"
"KAPUSKASING A","49.412","-82.468","ON","8.5","0",NA,"25.0","0","-6.5","0","55.6","0",NA,"146.7","0",NA,"","13","",,NA,"296.8","1.2","6073976"
"KAPUSKASING CDA ON","49.406","-82.444","ON","8.3","1",NA,"24.3","1","-7.8","0","",,NA,"136.7","1",NA,"","15","",,NA,"292.3","0.2","6073980"
"KIRKLAND LAKE CS","48.150","-80.000","ON","9.2","1",NA,"24.7","1","-3.6","0","",,NA,"94.6","1",NA,"","14","",,NA,"264.0","0.6","6074211"
"MOOSONEE","51.291","-80.608","ON","6.6","7",NA,"24.7","7","-9.3","7","",,NA,"56.7","7",NA,"","10","",,NA,"274.1","0.8","6075420"
