"Environment and Climate Change Canada"
"Monthly Values for September - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"THUNDER BAY","48.372","-89.322","ON","13.2","10",NA,"28.0","9","0.0","9","",,NA,"71.2","11",NA,"","9","",,NA,"100.7","5.6","6048260"
"THUNDER BAY BURWOOD","48.414","-89.278","ON","13.3","17",NA,"28.0","17","2.0","17","0.0","17",NA,"31.4","17",NA,"","4","","",NA,"67.7","6.5","6048266"
"THUNDER BAY CS","48.369","-89.327","ON","13.2","0",NA,"28.0","0","-0.4","0","",,NA,"100.8","0",NA,"","12","",,NA,"151.0","5.9","6048268"
"UPSALA (AUT)","49.033","-90.467","ON","12.0","0",NA,"27.3","0","-0.4","0","",,NA,"154.5","0",NA,"","12","",,NA,"185.2","4.6","6049095"
"WELCOME ISLAND (AUT)","48.369","-89.119","ON","14.4","0",NA,"24.1","0","7.5","0","",,NA,"",,NA,"","","",,NA,"111.8","3.3","6049443"
"LITTLE FLATLAND ISLAND (AUT)","49.690","-88.306","ON","13.1","15",NA,"23.4","13","6.6","14","",,NA,"26.0","23",NA,"","3","",,NA,"74.5","0.8","6049470"
"LAKE SUPERIOR PROVINCIAL PARK","47.723","-84.814","ON","13.6","0",NA,"28.4","0","-1.8","0","",,NA,"71.3","0",NA,"","11","",,NA,"148.3","15.3","6054425"
"SAULT STE MARIE A","46.485","-84.510","ON","15.4","0",NA,"31.5","0","-1.4","0","0.0","0",NA,"37.4","0",NA,"","10","",,NA,"112.7","33.3","6057591"
"WAWA A","47.967","-84.786","ON","",,NA,"26.2","5","",,"",,NA,"",,NA,"","","",,NA,"","","6059407"
"KILLARNEY (AUT)","45.967","-81.483","ON","16.2","0",NA,"24.0","0","4.4","0","",,NA,"",,NA,"","","",,NA,"74.1","20.1","605DJ25"
"CHAPLEAU A","47.820","-83.347","ON","",,NA,"30.8","2","",,"",,NA,"",,NA,"","","",,NA,"","","6061362"
"MASSEY","46.193","-82.025","ON","15.2","0","1.9","30.5","0","-2.0","0","0.0","0",NA,"25.9","0","28.0","0.0","4","","",NA,"106.6","23.1","6065006"
"MONETVILLE 2","46.215","-80.303","ON","15.9","2",NA,"30.5","2","2.5","2","0.0","2",NA,"38.9","2",NA,"0.0","6","","",NA,"86.8","29.1","6065252"
"SUDBURY CLIMATE","46.632","-80.796","ON","15.3","0",NA,"31.1","0","0.7","0","",,NA,"38.4","0",NA,"","5","",,NA,"115.8","33.8","6068145"
"SUDBURY A","46.626","-80.798","ON","15.3","2",NA,"30.9","0","0.3","2","0.0","0",NA,"51.0","0",NA,"","7","",,NA,"108.7","33.7","6068153"
"BONNER LAKE","49.383","-82.124","ON","12.8","2",NA,"29.0","1","-2.0","1","0.0","0",NA,"107.5","0",NA,"0.0","13","","",NA,"157.2","10.6","6070QK6"
"EARLTON A","47.695","-79.849","ON","15.4","14",NA,"30.4","14","0.7","14","",,NA,"36.3","14",NA,"","5","",,NA,"54.3","13.0","6072223"
"EARLTON CLIMATE","47.695","-79.849","ON","14.7","0",NA,"31.1","0","0.5","0","",,NA,"49.5","0",NA,"","8","",,NA,"126.0","27.7","6072230"
"KAPUSKASING A","49.412","-82.468","ON","12.9","0",NA,"27.6","0","-0.8","0","0.0","0",NA,"100.4","0",NA,"","10","",,NA,"166.2","12.7","6073976"
"KAPUSKASING CDA ON","49.406","-82.444","ON","12.9","0",NA,"27.4","0","-1.2","0","",,NA,"89.7","0",NA,"","12","",,NA,"164.8","13.1","6073980"
"KIRKLAND LAKE CS","48.150","-80.000","ON","14.8","0",NA,"30.2","0","0.7","0","",,NA,"65.5","0",NA,"","8","",,NA,"122.9","27.1","6074211"
"MOOSONEE","51.291","-80.608","ON","11.8","8",NA,"26.4","8","0.5","8","",,NA,"56.0","8",NA,"","9","",,NA,"139.0","2.1","6075420"
"MOOSONEE UA","51.267","-80.650","ON","11.9","0","1.4","26.5","0","-1.0","0","0.0","0","0.0","67.6","0","71.0","0.0","11","","",NA,"185.0","1.3","6075425"
"MOOSONEE RCS","51.292","-80.618","ON","11.7","2",NA,"26.2","2","-0.2","0","",,NA,"55.6","3",NA,"","10","",,NA,"178.1","1.4","6075435"
"NAGAGAMI (AUT)","49.747","-84.164","ON","12.1","1",NA,"27.0","1","-1.0","0","",,NA,"168.3","1",NA,"","13","",,NA,"178.9","6.4","6075543"
"OGOKI POST A","51.659","-85.901","ON","11.4","0",NA,"27.0","0","0.1","0","",,NA,"81.9","0",NA,"","12","",,NA,"200.6","3.1","6075786"
"TIMMINS CLIMATE","48.557","-81.390","ON","13.5","0",NA,"30.6","0","-2.7","0","",,NA,"28.3","0",NA,"","7","",,NA,"151.0","16.8","6078282"
"TIMMINS A","48.571","-81.377","ON","13.4","0",NA,"30.8","0","-2.9","0","0.0","27",NA,"",,NA,"","","",,NA,"154.7","16.7","6078286"
