"Environment and Climate Change Canada"
"Monthly Values for June - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"THUNDER BAY BURWOOD","48.414","-89.278","ON","13.8","16",NA,"27.0","16","5.0","16","0.0","16",NA,"64.6","16",NA,"0.0","7","","",NA,"58.2","0.0","6048266"
"THUNDER BAY CS","48.369","-89.327","ON","14.5","1",NA,"26.1","1","1.9","1","",,NA,"118.1","1",NA,"","23","",,NA,"102.1","0.0","6048268"
"UPSALA (AUT)","49.033","-90.467","ON","14.2","0",NA,"27.3","0","2.2","0","",,NA,"85.7","0",NA,"","10","",,NA,"113.8","0.6","6049095"
"WELCOME ISLAND (AUT)","48.369","-89.119","ON","13.9","0",NA,"24.3","0","5.5","0","",,NA,"",,NA,"","","",,NA,"122.8","0.0","6049443"
"LITTLE FLATLAND ISLAND (AUT)","49.690","-88.306","ON","12.6","3",NA,"23.7","3","2.8","1","",,NA,"215.3","5",NA,"","12","",,NA,"144.8","0.2","6049470"
"LAKE SUPERIOR PROVINCIAL PARK","47.723","-84.814","ON","14.0","0",NA,"25.3","0","-0.2","0","",,NA,"148.5","0",NA,"","12","",,NA,"120.6","1.4","6054425"
"SAULT STE MARIE A","46.485","-84.510","ON","14.6","0",NA,"27.8","0","-0.5","0","0.0","0",NA,"105.5","0",NA,"","16","",,NA,"104.1","3.5","6057591"
"WAWA A","47.967","-84.786","ON","",,NA,"25.5","0","",,"",,NA,"",,NA,"","","",,NA,"","","6059407"
"KILLARNEY (AUT)","45.967","-81.483","ON","15.9","1",NA,"26.6","1","7.6","1","",,NA,"",,NA,"","","",,NA,"67.0","5.8","605DJ25"
"CHAPLEAU A","47.820","-83.347","ON","",,NA,"27.7","0","",,"",,NA,"",,NA,"","","",,NA,"","","6061362"
"MASSEY","46.193","-82.025","ON","16.3","0","0.4","28.5","0","2.5","0","0.0","0",NA,"164.6","0","220.0","0.0","16","","",NA,"68.2","17.2","6065006"
"MONETVILLE 2","46.215","-80.303","ON","16.6","1",NA,"30.0","1","4.0","1","0.0","1",NA,"125.2","1",NA,"0.0","15","","",NA,"59.9","20.5","6065252"
"SUDBURY CLIMATE","46.632","-80.796","ON","16.0","0",NA,"30.5","0","3.1","0","",,NA,"111.0","0",NA,"","15","",,NA,"73.2","11.7","6068145"
"SUDBURY A","46.626","-80.798","ON","15.9","2",NA,"30.5","0","4.4","2","0.0","0",NA,"113.3","0",NA,"","15","",,NA,"69.0","8.9","6068153"
"BONNER LAKE","49.383","-82.124","ON","14.4","0",NA,"29.5","0","-1.0","0","0.0","0",NA,"170.7","0",NA,"0.0","12","","",NA,"109.0","1.6","6070QK6"
"EARLTON A","47.695","-79.849","ON","15.1","11",NA,"27.8","11","2.4","11","",,NA,"83.3","11",NA,"","11","",,NA,"60.1","4.2","6072223"
"EARLTON CLIMATE","47.695","-79.849","ON","15.4","0",NA,"28.5","0","2.9","0","",,NA,"80.0","0",NA,"","12","",,NA,"89.3","10.1","6072230"
