"Environment and Climate Change Canada"
"Monthly Values for March - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"THUNDER BAY BURWOOD","48.414","-89.278","ON","-4.3","14",NA,"10.0","14","-22.5","14","13.2","14",NA,"15.2","14",NA,"","3","","",NA,"379.9","0.0","6048266"
"THUNDER BAY CS","48.369","-89.327","ON","-4.9","1",NA,"14.5","0","-22.2","1","",,NA,"19.1","1",NA,"1.0","4","",,NA,"685.8","0.0","6048268"
"UPSALA (AUT)","49.033","-90.467","ON","-7.4","0",NA,"12.4","0","-29.2","0","",,NA,"19.7","0",NA,"18.0","4","",,NA,"787.4","0.0","6049095"
"LITTLE FLATLAND ISLAND (AUT)","49.690","-88.306","ON","-7.4","0",NA,"6.9","0","-23.2","0","",,NA,"12.9","24",NA,"13.0","2","",,NA,"787.2","0.0","6049470"
"THUNDER BAY A FIREHALL","48.367","-89.317","ON","",,NA,"",,"",,"8.6","0",NA,"25.0","0",NA,"0.0","4","","",NA,"","","604S003"
"LAKE SUPERIOR PROVINCIAL PARK","47.723","-84.814","ON","-7.1","2",NA,"11.4","2","-32.3","2","",,NA,"60.3","2",NA,"78.0","8","",,NA,"727.9","0.0","6054425"
"SAULT STE MARIE A","46.485","-84.510","ON","-4.8","0",NA,"9.6","0","-24.4","0","62.0","0",NA,"66.8","0",NA,"2.0","14","",,NA,"706.2","0.0","6057591"
"WAWA A","47.967","-84.786","ON","",,NA,"11.4","1","",,"",,NA,"",,NA,"12.0","","",,NA,"","","6059407"
"KILLARNEY (AUT)","45.967","-81.483","ON","-4.3","1",NA,"10.9","0","-18.6","1","",,NA,"",,NA,"","","",,NA,"667.8","0.0","605DJ25"
"CHAPLEAU A","47.820","-83.347","ON","",,NA,"9.1","0","",,"",,NA,"",,NA,"26.0","","",,NA,"","","6061362"
